# NCRADS9 menu tree -- GENERATED, do not edit by hand.
# Regenerate with: python tools/dump_menus.py --output docs/parity/ncrads9_menus.txt
# entries: 439 (371 excluding separators)
#
# Format: <menu path>|<kind>|<label>

# File
.frame.lock.slice|radiobutton|Image
.frame.lock|checkbutton|Bin
.frame.lock|checkbutton|Axes Order
.frame.lock|checkbutton|Scale
.frame.lock|checkbutton|Scale and Limits
.frame.lock|checkbutton|Colorbar
.frame.lock|checkbutton|Block
.frame.lock|checkbutton|Smooth
.frame.lock|checkbutton|3D
.frame|separator|---
.frame|cascade|Goto Frame
.frame.gotoframe|checkbutton|Frame 1
.frame|cascade|Show/Hide Frames
.frame.showhideframes|command|Show All
.frame.showhideframes|command|Hide All
.frame.showhideframes|separator|---
.frame.showhideframes|checkbutton|Frame 1
.frame|cascade|Move Frame
.frame.moveframe|command|First
.frame.moveframe|command|Back
.frame.moveframe|command|Forward
.frame.moveframe|command|Last
.frame|separator|---
.frame|command|First Frame
.frame|command|Previous Frame
.frame|command|Next Frame
.frame|command|Last Frame
.frame|separator|---
.frame|command|Cube
.frame|command|RGB
.frame|command|HSV
.frame|command|HLS
.frame|command|3D
.frame|separator|---
.frame|cascade|Frame Parameters
.frame.frameparameters|cascade|Tile
.frame.frameparameters.tile|radiobutton|Grid
.frame.frameparameters.tile|radiobutton|Columns
.frame.frameparameters.tile|radiobutton|Rows
.frame.frameparameters|cascade|Blink Interval
.frame.frameparameters.blinkinterval|radiobutton|.125 Seconds
.frame.frameparameters.blinkinterval|radiobutton|.25 Seconds
.frame.frameparameters.blinkinterval|radiobutton|.5 Seconds
.frame.frameparameters.blinkinterval|radiobutton|1 Second
.frame.frameparameters.blinkinterval|radiobutton|2 Seconds
.frame.frameparameters.blinkinterval|radiobutton|4 Seconds
.frame.frameparameters.blinkinterval|radiobutton|8 Seconds
.frame.frameparameters.blinkinterval|radiobutton|16 Seconds
.frame.frameparameters|cascade|Fade Interval
.frame.frameparameters.fadeinterval|radiobutton|1 Second
.frame.frameparameters.fadeinterval|radiobutton|2 Seconds
.frame.frameparameters.fadeinterval|radiobutton|4 Seconds
.frame.frameparameters.fadeinterval|radiobutton|8 Seconds
# Bin
.bin|checkbutton|1x1
.bin|checkbutton|2x2
.bin|checkbutton|4x4
.bin|checkbutton|8x8
# Zoom
.zoom|command|Center Image
.zoom|checkbutton|Align
.zoom|separator|---
.zoom|command|Zoom In
.zoom|command|Zoom Out
.zoom|command|Zoom Fit
.zoom|separator|---
.zoom|radiobutton|Zoom 1/32
.zoom|radiobutton|Zoom 1/16
.zoom|radiobutton|Zoom 1/8
.zoom|radiobutton|Zoom 1/4
.zoom|radiobutton|Zoom 1/2
.zoom|radiobutton|Zoom 1
.zoom|radiobutton|Zoom 2
.zoom|radiobutton|Zoom 4
.zoom|radiobutton|Zoom 8
.zoom|radiobutton|Zoom 16
.zoom|radiobutton|Zoom 32
.zoom|separator|---
.zoom|radiobutton|None
.zoom|radiobutton|Invert X
.zoom|radiobutton|Invert Y
.zoom|radiobutton|Invert XY
.zoom|separator|---
.zoom|radiobutton|0 Degrees
.zoom|radiobutton|90 Degrees
.zoom|radiobutton|180 Degrees
.zoom|radiobutton|270 Degrees
.zoom|separator|---
.zoom|command|Crop Parameters
.zoom|separator|---
.zoom|command|Pan Zoom Rotate Parameters
# Scale
.scale|checkbutton|Linear
.scale|checkbutton|Log
.scale|checkbutton|Sqrt
.scale|checkbutton|Squared
.scale|checkbutton|Asinh
.scale|checkbutton|Histogram Equalization
.scale|separator|---
.scale|command|MinMax
.scale|command|ZScale
.scale|command|Parameters
# Color
.color|radiobutton|Gray
.color|radiobutton|Red
.color|radiobutton|Green
.color|radiobutton|Blue
.color|radiobutton|A
.color|radiobutton|B
.color|radiobutton|BB
.color|radiobutton|HE
.color|radiobutton|I8
.color|radiobutton|AIPS0
.color|radiobutton|SLS
.color|radiobutton|HSV
.color|radiobutton|Heat
.color|radiobutton|Cool
.color|radiobutton|Rainbow
.color|radiobutton|Standard
.color|radiobutton|Staircase
.color|radiobutton|Color
.color|separator|---
.color|cascade|Matplotlib Uniform
.color.matplotlibuniform|radiobutton|Viridis
.color.matplotlibuniform|radiobutton|Plasma
.color.matplotlibuniform|radiobutton|Inferno
.color.matplotlibuniform|radiobutton|Magma
.color|cascade|User
.color.user|command|Load Colormap
.color.user|command|Save Current Colormap
.color.user|separator|---
.color|separator|---
.color|checkbutton|Invert Colormap
.color|command|Reset Colormap
.color|separator|---
.color|checkbutton|Colorbar
.color|cascade|Colorbar Options
.color.colorbaroptions|cascade|Orientation
.color.colorbaroptions.orientation|radiobutton|Horizontal
.color.colorbaroptions.orientation|radiobutton|Vertical
.color.colorbaroptions|cascade|Numerics
.color.colorbaroptions.numerics|checkbutton|Show
.color.colorbaroptions.numerics|separator|---
.color.colorbaroptions.numerics|radiobutton|Space Equal Value
.color.colorbaroptions.numerics|radiobutton|Space Equal Distance
.color.colorbaroptions|cascade|Font
.color.colorbaroptions.font|radiobutton|Small
.color.colorbaroptions.font|radiobutton|Medium
.color.colorbaroptions.font|radiobutton|Large
.color.colorbaroptions|separator|---
.color.colorbaroptions|command|Size
.color.colorbaroptions|command|Number of Ticks
.color|separator|---
.color|command|Colormap Parameters
# Region
.region|command|None
.region|separator|---
.region|command|Circle
.region|command|Ellipse
.region|command|Box
.region|command|Polygon
.region|command|Line
.region|command|Point
.region|separator|---
.region|command|Load
.region|command|Save
.region|command|Delete All
# VO
